AOTD #,Artist,Description,Genres,Scheduled,Stage,StartTime,EndTime,Favorited
1,Avance,"Avance is a Canadian electronic music producer and DJ recognized for his contributions to the heavy bass spectrum of EDM, particularly within the realms of dubstep, tearout, and riddim. Emerging in the late 2010s, Avance quickly established a reputation for high-intensity productions marked by aggressive sound design, intricate bass modulation, and rapid rhythmic shifts. His tracks often incorporate cinematic intros and atmospheric textures that build toward forceful, distorted drops, aligning him with the darker and more experimental wing of modern dubstep. Avance has performed at major bass-centric festivals and collaborated with several artists within the underground bass community, helping to shape the current trajectory of tearout dubstep. His releases on labels known for pushing heavier sounds have solidified his place among a newer generation of bass producers, and he continues to develop his sound while maintaining a core focus on high-energy, distortion-driven compositions.","dubstep, tearout, riddim",Wednesday,The Crater,1:00pm,2:00pm,0
2,Jiqui,"Jiqui is a Canadian electronic music producer and DJ known for his work in dubstep, riddim, and experimental bass music. He began releasing music in the mid-2010s and gained attention for his unconventional sound design, glitch-inspired effects, and minimal yet hard-hitting drops. Jiquiâ€™s production style is characterized by its raw, mechanical textures and rhythmic unpredictability, which have become trademarks of his approach. He has released music on respected bass labels and collaborated with several prominent figures in the dubstep and riddim scenes, contributing to the genreâ€™s ongoing evolution. Jiqui has also appeared on major festival lineups, performing energetic live sets that emphasize heavy basslines and syncopated structures. His work sits at the intersection of traditional riddim structures and more experimental approaches, often blending sparse arrangements with bursts of chaotic sound design, making him a distinctive presence within the bass music landscape.","dubstep, tearout, riddim",Wednesday,The Crater,2:00pm,3:00pm,0
3,Usaybflow,"Usaybflow is an electronic music producer and DJ whose work spans several subgenres of bass music, including trap, dubstep, and experimental hybrid bass. Emerging from the underground EDM scene, he has built a reputation for producing hard-hitting tracks that merge hip-hop-influenced percussion with intricate sound design and aggressive basslines. Usaybflowâ€™s productions often incorporate rapid tempo changes, syncopated rhythms, and glitch-like effects, reflecting an interest in pushing the boundaries of conventional bass music structures. His style blends the percussive energy of trap with the weight and intensity of dubstep, creating a hybrid sound that appeals to fans of both genres. Usaybflow has performed at bass-focused events and collaborated with other rising artists within the heavy electronic scene, contributing to the diversification of modern trap and bass music. His growing catalog showcases a consistent focus on high-energy, technically precise production and genre fusion.","trap, hybrid bass, dubstep",Wednesday,The Crater,3:00pm,4:00pm,0
4,Versa,"Versa is an American electronic music producer and DJ known for his work in dubstep, riddim, and hybrid trap. Active since the mid-2010s, Versa became recognized for his dynamic approach to bass music, often blending melodic elements with hard-hitting drops and detailed sound design. His tracks are noted for their polished production quality, complex layering, and heavy low-end presence, frequently incorporating cinematic builds and halftime breakdowns. Versa has released on a range of prominent bass music labels and collaborated with influential artists across the dubstep and trap scenes. His music often bridges the gap between traditional dubstep structures and modern festival-oriented bass sounds, giving his sets a broad appeal across audiences. Versaâ€™s performances are known for their intensity and precision, and he has appeared at major electronic music festivals worldwide, contributing to the growth of the contemporary North American dubstep movement.","deep dubstep, minimal bass",Wednesday,The Crater,4:00pm,5:00pm,0
5,SISTO,"SISTO is an American electronic music producer and DJ associated with the experimental bass and heavy dubstep scenes. Emerging in the late 2010s, he gained recognition for his immersive sound design, incorporating dense atmospheres, textured basslines, and unconventional rhythmic structures. SISTOâ€™s music often blends elements of experimental bass, deep dubstep, and leftfield trap, resulting in a sound that is both heavy and intricately detailed. His tracks are characterized by dark tonal palettes, granular synthesis techniques, and evolving structures that move away from conventional drop-based formats. SISTO has released on influential underground bass labels and has collaborated with several artists in the experimental electronic community. His live sets emphasize immersive, low-frequency soundscapes and complex rhythmic interplay, appealing to fans of forward-thinking bass music. SISTO has become a key figure in pushing the boundaries of bass-heavy electronic production, helping to shape the sound of modern experimental dubstep.","experimental bass, trap, hybrid bass",Wednesday,The Crater,5:00pm,6:00pm,0
6,THE RESISTANCE,"THE RESISTANCE is a collaborative electronic music project formed by producers known individually for their work in heavy bass and experimental dubstep. Conceived as a platform to merge their distinct production styles, the project centers on delivering intense, high-energy bass music with a cinematic edge. THE RESISTANCEâ€™s tracks often feature layered orchestral elements, dark atmospheres, and aggressive sound design that culminate in explosive, distorted drops. Their music draws on subgenres including tearout dubstep, riddim, and hybrid trap, fusing rapid-fire percussion with metallic bass textures and intricate build-ups. Since debuting, THE RESISTANCE has gained attention for its cohesive yet genre-defying sound and has performed at bass-focused festivals where their sets emphasize theatrical presentation and relentless energy. The project represents a convergence of underground bass influences, aiming to push the boundaries of modern dubstep through collaborative experimentation.","dubstep, riddim, tearout",Wednesday,The Crater,6:00pm,7:00pm,0
7,Chibs,"Chibs is an Australian electronic music producer and DJ known for his contributions to dubstep, riddim, and experimental bass. Active since the late 2010s, Chibs has built a reputation for combining aggressive basslines with unconventional rhythmic structures and glitch-inspired sound design. His productions often emphasize minimal yet forceful drops, syncopated percussion, and dark tonal atmospheres, positioning his work within the experimental edge of the riddim scene. Chibs has released on notable bass labels and collaborated with other rising artists in the underground dubstep community, contributing to the development of new stylistic approaches within heavy bass music. His live performances are marked by high-intensity mixing and sharp dynamic shifts, appealing to audiences seeking cutting-edge bass experiences. Chibs continues to evolve his sound by incorporating abstract textures and atypical arrangements, establishing himself as a distinctive figure within modern bass music.","dubstep, riddim, tearout",Wednesday,The Crater,7:00pm,8:00pm,0
8,beastboi.,"beastboi. is an American electronic music producer recognized for his genre-blending approach to bass music, drawing from dubstep, trap, and experimental hybrid bass. He began releasing music in the late 2010s and quickly gained attention for his aggressive yet highly detailed production style, often incorporating rapid tempo changes, glitch-based sound design, and complex rhythmic interplay. His tracks frequently combine the percussive sharpness of trap with the weight and distortion of dubstep, resulting in high-energy, unpredictable compositions. beastboi. has collaborated with other bass-focused artists and has released on underground labels that specialize in heavy and experimental electronic music. His sets are known for their intensity and dynamic flow, showcasing a range of tempos and textures that reflect his interest in pushing the boundaries of conventional bass structures. beastboi. represents a newer wave of artists experimenting within the broader heavy bass landscape.","trap, hybrid bass, dubstep",Wednesday,The Crater,8:00pm,9:00pm,0
9,Kill Safari,"Kill Safari is a collaborative electronic music project formed by American producers Kill the Noise (Jacob Stanczak) and Bro Safari (Nicholas Weiller). The project emerged as a creative outlet for the two artists to merge their distinct production approaches, blending the heavy, intricate sound design associated with Kill the Noise with the trap and bass-driven stylings that characterize Bro Safariâ€™s work. Kill Safariâ€™s music draws from multiple EDM subgenres, including trap, dubstep, and future bass, often combining melodic synth layers with aggressive low-end elements and complex percussion. Their tracks feature energetic buildups, syncopated rhythms, and dynamic transitions, reflecting both artistsâ€™ emphasis on high-impact, festival-ready production. The collaboration has allowed them to experiment outside their individual solo catalogs, exploring more playful yet forceful soundscapes that balance melody and heaviness. Kill Safari has released music on prominent bass labels and has performed at major festivals, offering sets that showcase a hybrid sound rooted in both artistsâ€™ strengths. The project stands as a fusion of their distinct musical identities, contributing to the ongoing cross-pollination of styles within modern electronic bass music.","trap, dubstep, future bass",Wednesday,The Crater,9:00pm,10:00pm,0
10,dÃªtre,"dÃªtre is an experimental bass music producer and DJ known for his intricate sound design and genre-defying compositions. His work draws from elements of glitch, trap, dubstep, and leftfield bass, creating a sonic palette that is dense, textural, and highly detailed. dÃ©tres tracks often eschew traditional verse-drop structures in favor of evolving arrangements built on granular synthesis, complex percussion, and layered atmospheres. Emerging from the underground experimental bass scene, dÃªtre has released music through niche labels focused on avant-garde electronic sounds and has collaborated with like-minded producers exploring the outer edges of bass music. His live performances emphasize immersive low-frequency soundscapes and unpredictable rhythmic changes, appealing to audiences interested in forward-thinking electronic music. dÃªtreâ€™s approach positions him within the cutting edge of experimental bass, where he continues to expand the possibilities of digital sound design and composition.","experimental bass, leftfield bass, glitch",Wednesday,Grove Stage,2:00pm,3:00pm,0
